AR,AIR,EAR,ER,IRE,OR,RL,PREVOC.,OTHER,BLENDS
Are,Area,Clear,After,Fire,Before,Early,Read,Already,Agree
Car,Care,Hear,Another,Higher,Boring,Girl,Ready,Around,Brother
Dark,Chair,Here,Better,Liar,Course,World,Real,Different,Bring
Far,Carry,Near,Color,Tired,Door,,Really,Every,Brown
Hard,Share,Weird,During,,Floor,,Reason,Several,Draw
Large,Their,Year,Early,,For,,Red,,Drink
Part,There,,Ever,,Four,,Ride,,Free
Start,Very,,First,,Important,,Right,,Friday
,Where,,Her,,More,,Room,,From
,,,Hurt,,Morning,,Run,,Front
,,,Learn,,Or,,Write,,Great
,,,Letter,,Store,,Wrong,,Green
,,,Matter,,Story,,,,Ground
,,,Never,,Your,,,,Group
,,,Number,,Yourself,,,,Grow
,,,Other,,,,,,Pretty
,,,Our,,,,,,Probably
,,,Over,,,,,,Problem
,,,Sure,,,,,,Project
,,,Together,,,,,,Straight
,,,Turn,,,,,,Three
,,,Paper,,,,,,Through
,,,Person,,,,,,Try
,,,Picture,,,,,,
,,,Under,,,,,,
,,,Water,,,,,,
,,,Were,,,,,,
,,,Work,,,,,,
,,,Yesterday,,,,,,